Timestamp,L_1,L_2,A_1,A_2,B_1,B_2,C_1,C_2,A_3,A_4,B_3,B_4,C_3,C_4,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,A_5,B_5,C_5
0,-74.53302961063515,-61.71243941895458,-49.96569860546501,-57.03140366587556,-55.63079839414074,-56.97049179330017,-55.57964631330703,-56.72062390127693,-64.0691633701876,-72.43277244762078,-69.81254039825293,-77.56709228408131,-72.17486939895215,-63.15675206460997,-97.85352548591688,-75.02453379461934,-68.90586385164373,-79.2668590409035,-95.69309754592803,-33.27668341417588,-75.00569432963803,-77.49196141378289,-100.0,-100.0,-100.0
1,-49.67350038663321,-58.97850130719055,-50.072414057904716,-56.847833218035554,-55.59016727239975,-57.15409835336559,-55.56609527220151,-57.07451340508902,-66.6278979592322,-76.2698537509882,-70.20038784493931,-73.92767031164944,-72.22985977450787,-61.28962223314805,-97.85352548591688,-50.16986790033374,-60.92263910897364,-79.2668590409035,-95.69309754592803,-33.27668341417588,-50.04175842257013,-65.80660340389605,-100.0,-100.0,-100.0
2,-20.22779043063538,-41.85410712171673,-49.95045353012612,-57.241198460338,-55.64434211618108,-57.15409835336559,-55.4847889367602,-57.04829937015567,-66.6278979592322,-76.6158200959646,-70.73367808512597,-74.67696306950053,-72.22985977450787,-61.28962223314805,-97.85352548591688,-20.392588965186505,-33.82760427638928,-79.2668590409035,-95.69309754592803,-33.27668341417588,-20.006104333976126,-40.61642225050244,-100.0,-100.0,-100.0
3,0.3340926472319836,-50.838821917230675,-49.904718354064464,-56.834721033982845,-55.698516959962404,-57.02295082580972,-55.552544208893934,-57.04829937015567,-66.6278979592322,-76.20695077753471,-70.73367808512597,-77.24596681607294,-72.22985977450787,-61.28962223314805,-97.85352548591688,-0.8078370340241037,-53.598442301284734,-79.2668590409035,-95.69309754592803,-33.27668341417588,-0.26573534156037226,-41.33793426630989,-100.0,-100.0,-100.0
4,25.04176158829047,-46.91189262216857,-50.087659108266095,-57.17563758304043,-55.63079839414074,-56.89180327676665,-55.511891041173286,-57.04829937015567,-66.6278979592322,-72.16543481495235,-70.79831932491652,-72.59729336989429,-72.22985977450787,-61.28962223314805,-97.85352548591688,23.94112857849754,-48.371152561675906,-79.2668590409035,-95.69309754592803,-33.27668341417588,24.71338546966996,-41.086973557338226,-100.0,-100.0,-100.0
5,-70.1290812360856,-74.84776935385402,-50.102904183604984,-57.044515828445284,-55.684973237922065,-56.85245900775629,-55.620299481027686,-57.08762041181843,-66.6278979592322,-77.51218745028534,-70.79831932491652,-73.75946173269165,-72.22985977450787,-61.28962223314805,-97.85352548591688,-71.92902557123485,-96.33041264190275,-79.2668590409035,-95.7501426117615,-33.27668341417588,-71.61946701567886,-92.78487961577981,-100.0,-100.0,-100.0
6,-96.9779802579593,-68.05020504408648,-49.996188731165276,-56.847833218035554,-55.563079828319076,-57.08852457884405,-55.56609527220151,-57.022085335222314,-66.6278979592322,-76.45856266619565,-73.49709114309739,-72.99487728242795,-74.58069837794119,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-79.2668590409035,-95.72162007884477,-33.27668341417588,-97.29709209731182,-64.09693358205735,-100.0,-100.0,-100.0
7,-96.9779802579593,-68.05020504408648,-50.02667885686555,-56.96584278857799,-55.6578858160314,-57.009836062310534,-55.511891041173286,-57.022085335222314,-64.62743273640972,-76.47428841020314,-73.49709114309739,-73.20896092860201,-71.78993676105257,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-79.2668590409035,-95.72162007884477,-33.27668341417588,-97.29709209731182,-61.085405074397414,-100.0,-100.0,-100.0
8,-96.9779802579593,-68.05020504408648,-50.01143380650417,-57.22808627628528,-55.563079828319076,-56.85245900775629,-55.552544208893934,-57.11383444675178,-66.24021090182589,-76.89888347264052,-70.47511312066838,-74.47817111323369,-74.89689304301754,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-79.2668590409035,-95.72162007884477,-33.27668341417588,-97.29709209731182,-66.3712649926577,-100.0,-100.0,-100.0
9,-96.9779802579593,-68.05020504408648,-50.1943745607058,-56.96584278857799,-55.617254694290416,-57.03606556782171,-55.47123789565467,-57.04829937015567,-66.84500271290418,-75.23195470832948,-70.66903684268772,-77.35300864041265,-72.16112180393704,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-79.2668590409035,-95.72162007884477,-33.27668341417588,-97.29709209731182,-64.11261861191275,-100.0,-100.0,-100.0
10,-96.9779802579593,-68.05020504408648,-50.13339430930525,-57.16252539898772,-55.67142953807174,-56.98360655679936,-55.4847889367602,-56.99587127881442,-66.82949523213237,-75.79808145910482,-70.66903684268772,-74.96750516019986,-72.38108331066468,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-79.2668590409035,-95.33656588598753,-33.27668341417588,-97.29709209731182,-66.62222570162936,-100.0,-100.0,-100.0
11,-96.9779802579593,-68.05020504408648,-50.04192393220444,-56.87405756465799,-55.576623550359415,-56.865573771255484,-55.56609527220151,-57.03519234195172,-67.37225711250122,-73.45494574627199,-70.66903684268772,-73.53008639661039,-74.81440747968396,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-79.2668590409035,-95.72162007884477,-33.27668341417588,-97.29709209731182,-63.07740569061694,-100.0,-100.0,-100.0
12,-96.9779802579593,-68.05020504408648,-50.11814923396636,-57.044515828445284,-55.52244870657808,-56.95737705128819,-55.63385052213321,-57.06140637688508,-64.72047763120354,-75.76662997366634,-70.5882352916257,-77.0471748598061,-72.35358812288683,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-79.2668590409035,-95.73588134518631,-33.27668341417588,-97.29709209731182,-62.16767311095778,-100.0,-100.0,-100.0
13,-96.9779802579593,-68.05020504408648,-50.01143380650417,-56.900281911280416,-55.67142953807174,-56.87868851326746,-55.63385052213321,-57.11383444675178,-64.75149259528789,-76.15977354808872,-70.68519715395921,-76.54254912293271,-72.35358812288683,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-79.2668590409035,-95.73588134518631,-33.27668341417588,-97.29709209731182,-62.544114187264455,-100.0,-100.0,-100.0
14,-96.9779802579593,-68.05020504408648,-50.02667885686555,-57.123188889795564,-55.63079839414074,-56.931147545777016,-55.647401585440775,-57.100727440022375,-64.36380553534083,-77.27630130563192,-70.50743374056366,-77.18480006145487,-72.35358812288683,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-79.2668590409035,-95.73588134518631,-33.27668341417588,-97.29709209731182,-63.23425614336112,-100.0,-100.0,-100.0
15,-96.9779802579593,-68.05020504408648,-50.11814923396636,-57.22808627628528,-55.698516959962404,-57.15409835336559,-55.647401585440775,-56.99587127881442,-65.09265720783803,-76.9617864435175,-70.087265673982,-77.68942579582286,-74.53945559514821,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-82.79363044057551,-95.72162007884477,-33.27668341417588,-97.29709209731182,-60.78738922446283,-100.0,-100.0,-100.0
16,-96.9779802579593,-68.05020504408648,-50.072414057904716,-57.16252539898772,-55.72560438185306,-56.90491804026585,-55.60674841772012,-57.00897830701837,-65.09265720783803,-75.71945274422035,-72.83451842068193,-73.4689196419923,-74.31949408842056,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-82.79363044057551,-95.67883627958648,-33.27668341417588,-97.29709209731182,-60.78738922446283,-100.0,-100.0,-100.0
17,-96.9779802579593,-68.05020504408648,-49.93520847976473,-57.14941323641799,-55.67142953807174,-57.16721311686478,-55.53899316778842,-57.03519234195172,-65.09265720783803,-75.87671017398931,-72.54363283632908,-76.77192445901397,-74.4844652195925,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-82.79363044057551,-95.8784940093027,-33.27668341417588,-97.29709209731182,-59.67375107679493,-100.0,-100.0,-100.0
18,-96.9779802579593,-68.05020504408648,-50.087659108266095,-56.96584278857799,-55.563079828319076,-57.16721311686478,-55.511891041173286,-56.982764272085014,-66.87601767698854,-76.83598049918703,-72.54363283632908,-74.52404618044994,-71.87242232663854,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-82.79363044057551,-95.69309754592803,-33.27668341417588,-97.29709209731182,-62.41863381992944,-100.0,-100.0,-100.0
19,-96.9779802579593,-68.05020504408648,-50.13339430930525,-56.900281911280416,-55.54953612846875,-57.15409835336559,-55.60674841772012,-57.03519234195172,-66.67442040662911,-72.55857839195124,-72.54363283632908,-75.86971480960692,-72.55980203459934,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-82.79363044057551,-95.72162007884477,-33.27668341417588,-97.29709209731182,-62.35589364911112,-100.0,-100.0,-100.0
20,-96.9779802579593,-68.05020504408648,-50.04192393220444,-56.926506257902844,-55.63079839414074,-56.91803278227782,-55.5931973766146,-57.08762041181843,-66.67442040662911,-76.77307752831005,-72.54363283632908,-73.10191910676768,-74.84190266746182,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-82.79363044057551,-95.56474614838683,-33.27668341417588,-97.29709209731182,-62.23041330747448,-100.0,-100.0,-100.0
21,-96.9779802579593,-68.05020504408648,-50.02667885686555,-57.03140366587556,-55.54953612846875,-56.865573771255484,-55.66095264874834,-57.022085335222314,-66.6278979592322,-72.60575562139724,-69.87718164069118,-75.97675663144125,-72.47731646901337,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-82.79363044057551,-95.72162007884477,-33.27668341417588,-97.29709209731182,-61.50890126596865,-100.0,-100.0,-100.0
22,-96.9779802579593,-68.05020504408648,-50.11814923396636,-57.123188889795564,-55.576623550359415,-56.85245900775629,-55.620299481027686,-57.08762041181843,-66.6278979592322,-73.03035068383461,-72.93148028301546,-74.9980885375089,-72.4360736862204,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-82.79363044057551,-95.72162007884477,-33.27668341417588,-97.29709209731182,-65.32036701580813,-100.0,-100.0,-100.0
23,-96.9779802579593,-68.05020504408648,-50.11814923396636,-56.95273060452528,-55.64434211618108,-56.90491804026585,-55.49834000006776,-57.00897830701837,-66.34876327739151,-76.37993395131116,-72.23658694070473,-73.65241990835193,-75.02062139139649,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-82.79363044057551,-95.72162007884477,-33.27668341417588,-97.29709209731182,-63.39110657040692,-100.0,-100.0,-100.0
24,-96.9779802579593,-68.05020504408648,-50.14863938464415,-57.110076705742856,-55.53599240642841,-56.90491804026585,-55.63385052213321,-57.022085335222314,-66.34876327739151,-74.5085705303617,-72.23658694070473,-76.54254912293271,-72.36733571564955,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-82.79363044057551,-95.72162007884477,-33.27668341417588,-97.29709209731182,-63.673437364787745,-100.0,-100.0,-100.0
25,-96.9779802579593,-68.05020504408648,-49.98094365582639,-56.96584278857799,-55.563079828319076,-57.21967212788712,-55.56609527220151,-57.100727440022375,-66.34876327739151,-77.22912407618593,-72.23658694070473,-77.4753421521542,-72.44982128123553,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-82.79363044057551,-95.72162007884477,-33.27668341417588,-97.29709209731182,-58.340522305564534,-100.0,-100.0,-100.0
26,-96.9779802579593,-68.05020504408648,-49.91996340442584,-57.14941323641799,-55.617254694290416,-57.23278689138631,-55.56609527220151,-57.022085335222314,-66.34876327739151,-75.67227551477437,-72.34970911166204,-76.8789662808483,-72.44982128123553,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-82.79363044057551,-95.69309754592803,-33.27668341417588,-97.29709209731182,-64.81844559786481,-100.0,-100.0,-100.0
27,-96.9779802579593,-68.05020504408648,-50.087659108266095,-57.22808627628528,-55.739148103893406,-57.20655738587514,-55.620299481027686,-57.00897830701837,-66.34876327739151,-72.84164176605066,-72.34970911166204,-76.2825904120478,-72.4360736862204,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.2758930592615,-82.79363044057551,-95.69309754592803,-33.27668341417588,-97.29709209731182,-58.8110736380987,-100.0,-100.0,-100.0
28,-96.9779802579593,-68.05020504408648,-50.14863938464415,-57.08385235912042,-55.576623550359415,-57.10163934234324,-55.53899316778842,-57.04829937015567,-63.324804216918594,-72.96744771038112,-72.34970911166204,-74.6616713820987,-72.3398405278717,-61.28962223314805,-97.85352548591688,-97.37259303322763,-77.53313862078943,-82.79363044057551,-95.69309754592803,-33.27668341417588,-97.29709209731182,-66.44969021902979,-100.0,-100.0,-100.0
29,-96.9779802579593,-68.05020504408648,-49.889473278725575,-57.254310622907724,-55.576623550359415,-56.931147545777016,-55.66095264874834,-57.04829937015567,-67.18616732545433,-75.79808145910482,-72.34970911166204,-75.90029818691596,-74.88314545025482,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.26091515075595,-82.79363044057551,-95.69309754592803,-33.27668341417588,-97.29709209731182,-63.37542154055153,-100.0,-100.0,-100.0
30,-96.9779802579593,-65.06772710212935,-50.13339430930525,-57.254310622907724,-55.576623550359415,-57.12786884785441,-55.511891041173286,-57.100727440022375,-64.58091028901282,-75.13760025201401,-72.34970911166204,-77.73530086303911,-72.3398405278717,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.26091515075595,-82.79363044057551,-95.69309754592803,-33.27668341417588,-97.29709209731182,-64.2067288938386,-100.0,-100.0,-100.0
31,-96.9779802579593,-54.840313155649895,-50.04192393220444,-57.16252539898772,-55.72560438185306,-56.90491804026585,-55.674503689853864,-57.06140637688508,-67.2637047369356,-73.59647743203345,-72.34970911166204,-75.10513036184862,-74.55320319016333,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.26091515075595,-82.79363044057551,-95.69309754592803,-33.27668341417588,-97.29709209731182,-63.20288605795196,-100.0,-100.0,-100.0
32,-96.9779802579593,-54.840313155649895,-50.11814923396636,-57.07074017506771,-55.576623550359415,-57.140983611353604,-55.56609527220151,-57.04829937015567,-64.98410482973168,-72.51140116250525,-72.34970911166204,-73.60654484113567,-74.731921914098,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.26091515075595,-82.79363044057551,-93.7393040491924,-22.307197129084233,-97.29709209731182,-58.79538858254493,-100.0,-100.0,-100.0
33,-96.9779802579593,-54.840313155649895,-50.04192393220444,-56.95273060452528,-55.563079828319076,-56.87868851326746,-55.620299481027686,-56.982764272085014,-65.29425447819746,-72.62148136540472,-72.34970911166204,-74.09587888810185,-74.731921914098,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.26091515075595,-82.79363044057551,-93.368511123144,-22.18874727664074,-97.29709209731182,-58.51305778816411,-100.0,-100.0,-100.0
34,-96.9779802579593,-54.840313155649895,-49.96569860546501,-57.188749745610146,-55.617254694290416,-57.2459016333983,-55.63385052213321,-57.00897830701837,-64.8135225234566,-72.29124075928281,-72.34970911166204,-76.90954965815735,-74.731921914098,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.26091515075595,-82.79363044057551,-93.368511123144,-24.382644537034167,-97.29709209731182,-63.70480747589528,-100.0,-100.0,-100.0
35,-96.9779802579593,-54.840313155649895,-49.904718354064464,-57.08385235912042,-55.60371097225007,-57.11475410584243,-55.60674841772012,-57.022085335222314,-64.8135225234566,-73.31341405793403,-72.34970911166204,-75.99204832134846,-74.731921914098,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.26091515075595,-82.79363044057551,-93.368511123144,-22.775846541605123,-97.29709209731182,-61.05403496328988,-100.0,-100.0,-100.0
36,-96.9779802579593,-54.840313155649895,-49.904718354064464,-57.00517931925313,-55.6578858160314,-56.91803278227782,-55.647401585440775,-57.100727440022375,-64.65844770049408,-72.77873879517368,-72.34970911166204,-74.86046333836553,-74.731921914098,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.26091515075595,-82.79363044057551,-93.368511123144,-19.08845114941081,-97.29709209731182,-58.8110736380987,-100.0,-100.0,-100.0
37,-96.9779802579593,-57.114452580742295,-50.04192393220444,-57.21497411371556,-55.617254694290416,-57.20655738587514,-55.60674841772012,-57.022085335222314,-65.26323951157237,-72.24406353241334,-72.34970911166204,-77.39888370512352,-72.39483090567981,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.26091515075595,-82.79363044057551,-93.368511123144,-21.00939874945889,-97.29709209731182,-59.76786133302242,-100.0,-100.0,-100.0
38,-96.9779802579593,-56.778923825455266,-50.14863938464415,-57.16252539898772,-55.64434211618108,-56.90491804026585,-55.57964631330703,-57.00897830701837,-65.26323951157237,-72.0239031291909,-72.34970911166204,-76.58842419014897,-72.75226835354914,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.26091515075595,-82.79363044057551,-93.368511123144,-26.57139179679941,-97.29709209731182,-58.01113637022078,-100.0,-100.0,-100.0
39,-96.9779802579593,-56.778923825455266,-50.01143380650417,-57.22808627628528,-55.563079828319076,-56.931147545777016,-55.620299481027686,-57.100727440022375,-65.26323951157237,-76.50573989564163,-72.34970911166204,-73.01016897233518,-75.52928237542264,-61.28962223314805,-97.85352548591688,-97.37259303322763,-72.26091515075595,-82.79363044057551,-93.368511123144,-26.751641571559873,-97.29709209731182,-60.75601913905366,-100.0,-100.0,-100.0
40,-96.71981776625668,-51.50987944816481,-50.102904183604984,-56.82160887141312,-55.617254694290416,-57.23278689138631,-55.49834000006776,-57.06140637688508,-65.07714972452548,-75.13760025201401,-72.34970911166204,-76.74134108170495,-72.80725872910486,-61.28962223314805,-97.85352548591688,-97.37259303322763,-52.37025388235577,-82.79363044057551,-93.368511123144,-26.751641571559873,-97.29709209731182,-67.4064779139535,-100.0,-100.0,-100.0
41,-96.76537585313018,-51.82055423590619,-50.01143380650417,-56.900281911280416,-55.75269180374373,-56.90491804026585,-55.647401585440775,-57.100727440022375,-67.74443668913571,-76.77307752831005,-72.34970911166204,-77.53650890677227,-75.04811657917435,-61.28962223314805,-97.85352548591688,-97.37259303322763,-47.39758855789379,-82.79363044057551,-93.368511123144,-24.97489379250144,-97.29709209731182,-67.4064779139535,-100.0,-100.0,-100.0
42,-96.76537585313018,-52.777432587036046,-49.91996340442584,-56.86094538060528,-55.63079839414074,-56.931147545777016,-55.511891041173286,-57.03519234195172,-65.24773203080056,-76.55291712508762,-72.34970911166204,-75.74738129786537,-75.04811657917435,-61.28962223314805,-97.85352548591688,-97.35749299474278,-44.821388447083386,-82.79363044057551,-93.368511123144,-19.335650840366217,-97.22116771582147,-64.91255587979066,-100.0,-100.0,-100.0
43,-96.76537585313018,-52.777432587036046,-50.087659108266095,-56.86094538060528,-55.617254694290416,-57.009836062310534,-55.56609527220151,-57.03519234195172,-65.74397146631323,-75.01179430768354,-72.34970911166204,-76.31317378935684,-75.04811657917435,-61.28962223314805,-97.85352548591688,-97.35749299474278,-49.89889912617637,-82.79363044057551,-93.368511123144,-23.301145881721215,-97.22116771582147,-64.91255587979066,-100.0,-100.0,-100.0
44,-96.76537585313018,-52.777432587036046,-50.087659108266095,-57.09696452169015,-55.60371097225007,-56.931147545777016,-55.4847889367602,-57.022085335222314,-65.60440412412251,-77.35493002051639,-72.34970911166204,-77.62825904120479,-75.04811657917435,-61.28962223314805,-97.85352548591688,-97.64439375490076,-50.15352356586301,-82.79363044057551,-93.368511123144,-25.036693715662178,-97.22116771582147,-65.05372127698107,-100.0,-100.0,-100.0
45,-96.76537585313018,-52.777432587036046,-50.01143380650417,-57.22808627628528,-55.67142953807174,-56.865573771255484,-55.647401585440775,-56.99587127881442,-65.60440412412251,-72.24406353241334,-72.34970911166204,-72.87254377068642,-75.04811657917435,-61.28962223314805,-97.85352548591688,-97.38769307418649,-45.12094661719469,-82.79363044057551,-93.368511123144,-27.40569075356298,-97.22116771582147,-65.05372127698107,-100.0,-100.0,-100.0
46,-96.76537585313018,-52.777432587036046,-50.072414057904716,-56.926506257902844,-55.67142953807174,-56.87868851326746,-55.5931973766146,-57.022085335222314,-65.60440412412251,-75.65654977076687,-72.34970911166204,-72.96429390511892,-75.04811657917435,-61.28962223314805,-97.85352548591688,-97.38769307418649,-50.10858983543835,-82.79363044057551,-93.368511123144,-27.40569075356298,-97.22116771582147,-65.05372127698107,-100.0,-100.0,-100.0
