Timestamp,L_1,L_2,A_1,A_2,B_1,B_2,C_1,C_2,A_3,A_4,B_3,B_4,C_3,C_4,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,A_5,B_5,C_5
0,-99.33181473041681,-79.73157698579394,-49.996188731165276,-56.87405756465799,-55.67142953807174,-57.02295082580972,-55.66095264874834,-57.03519234195172,-65.69744901891632,-74.54002201580019,-71.04072398075031,-72.81137701606833,-72.54605443958421,-62.12548849428674,-99.18373504386348,-97.70479391502516,-76.93402231737653,-84.31121086166655,-93.6109526516512,-25.438393213675663,-97.50968035851874,-65.52427260951524,-100.0,-100.0,-100.0
1,-99.33181473041681,-79.73157698579394,-50.087659108266095,-56.87405756465799,-55.617254694290416,-56.97049179330017,-55.49834000006776,-57.08762041181843,-65.69744901891632,-76.50573989564163,-71.04072398075031,-74.14175395531811,-72.54605443958421,-62.12548849428674,-99.18373504386348,-97.70479391502516,-76.93402231737653,-84.31121086166655,-93.6109526516512,-25.438393213675663,-97.50968035851874,-65.52427260951524,-100.0,-100.0,-100.0
2,-96.14274867166455,-71.343357773785,-50.11814923396636,-56.97895495114771,-55.60371097225007,-57.140983611353604,-55.53899316778842,-57.04829937015567,-65.69744901891632,-72.63720710683572,-71.04072398075031,-76.72604939179773,-72.54605443958421,-62.12548849428674,-99.18373504386348,-97.40279311514533,-71.78162210802563,-84.31121086166655,-93.6109526516512,-23.687395405694716,-97.50968035851874,-71.13951846311926,-100.0,-100.0,-100.0
3,-88.88382687875247,-59.72412078962582,-50.102904183604984,-56.87405756465799,-55.67142953807174,-56.98360655679936,-55.5931973766146,-57.03519234195172,-65.69744901891632,-72.51140116250525,-71.04072398075031,-76.72604939179773,-72.54605443958421,-62.12548849428674,-99.18373504386348,-90.03397357996778,-57.552609901355865,-84.31121086166655,-85.85282372890657,-12.887858903388683,-89.8261331716241,-68.70833659977474,-100.0,-100.0,-100.0
4,-66.98557327415915,-50.31688827301076,-50.14863938464415,-56.99206713520042,-55.59016727239975,-57.062295073332876,-55.674503689853864,-57.03519234195172,-65.69744901891632,-75.93961314486629,-71.04072398075031,-78.11759308817095,-72.54605443958421,-62.12548849428674,-99.18373504386348,-68.24461580983105,-45.735040826659166,-84.31121086166655,-65.28807759009966,-10.575511790551761,-67.85361778929214,-67.0300368633452,-100.0,-100.0,-100.0
5,-11.359149567363644,-42.52516465265086,-50.04192393220444,-57.00517931925313,-55.563079828319076,-56.87868851326746,-55.56609527220151,-56.99587127881442,-65.69744901891632,-77.07186664384047,-70.7013574652307,-73.25483599581825,-72.54605443958421,-62.12548849428674,-99.18373504386348,-12.751968700171659,-36.283981138787,-84.31121086166655,-13.191671426677402,-8.515514365923337,-12.36808139635015,-47.282566080956045,-100.0,-100.0,-100.0
6,0.13667425502231367,-44.24008947202482,-49.96569860546501,-57.22808627628528,-55.59016727239975,-57.18032785887676,11.077986317815217,7.4382331800540555,-65.69744901891632,-74.55574775723117,-70.84680025608327,-74.5699212476662,-25.446796809836655,-25.358228396614564,-99.18373504386348,-0.7172368031149716,-49.86894331407319,-84.31121086166655,-4.221334856723686,-23.950045071533886,0.0835168048364352,-65.2576268449898,-100.0,-100.0,-100.0
7,47.30447989782412,-58.97850130719055,-50.17912951034442,-56.913394095333125,-55.59016727239975,-57.03606556782171,11.091537358920732,7.35959105377944,-65.69744901891632,-75.09042302256803,-70.84680025608327,-75.25804725089921,-24.16827055902096,-25.358228396614564,-99.18373504386348,47.3612906559123,-71.0926383584873,-84.31121086166655,43.211637192452415,-31.288785899620393,47.58180851577218,-36.773586389555426,-100.0,-100.0,-100.0
8,-77.3728170066747,-72.26295513898424,-50.11814923396636,-57.22808627628528,-55.684973237922065,-57.140983611353604,11.064435254507643,7.35959105377944,-65.69744901891632,-75.09042302256803,-70.16806722504404,-75.25804725089921,-24.841902660704605,-23.13287017387374,-99.18373504386348,-74.70743294932748,-96.55508125476234,-84.31121086166655,-71.89104392305705,-40.589674272028674,-74.45903879733721,-94.43180926937004,-100.0,-100.0,-100.0
9,-96.84130599708999,-60.308189387321995,-50.04192393220444,-57.254310622907724,-55.684973237922065,-57.23278689138631,10.983128941268376,7.3989121169167476,-66.11615104294773,-75.27913193777547,-70.03878474281524,-77.84234268737883,-26.202914490620707,-23.621363437942335,-99.18373504386348,-97.46319327403275,-75.40627574306015,-84.31121086166655,-93.33998859092824,-25.572293046065568,-97.4033862274177,-63.23425614336112,-100.0,-100.0,-100.0
